Team,Age,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Year,Playoffs
Los Angeles Clippers,24.3,28,54,103.5,108.5,91,0.35,0.156,0.512,0.453,15,32.8,0.275,0.494,12.9,70,0.231,2004,0
Los Angeles Lakers*,29.8,52,30,105.5,101.3,92.3,0.352,0.167,0.522,0.481,12.8,28.1,0.244,0.471,14.3,73.3,0.222,2004,1
Memphis Grizzlies*,26,48,34,104.8,102.2,91.4,0.322,0.197,0.522,0.479,13.9,29.5,0.234,0.465,15.7,68.4,0.251,2004,1
Miami Heat*,26.4,43,39,102.2,101.7,88,0.298,0.211,0.51,0.463,13.5,27.4,0.227,0.463,14.5,73.4,0.26,2004,1
Milwaukee Bucks*,26.5,44,38,106.5,105.4,91.6,0.33,0.172,0.528,0.477,12.7,27.6,0.255,0.485,13.3,71.8,0.213,2004,1
Minnesota Timberwolves*,29.7,57,25,105.9,99.7,89,0.265,0.137,0.528,0.486,12.4,26.7,0.207,0.444,12.9,72.5,0.215,2004,1
New Jersey Nets*,27.7,49,33,100.8,98,89.4,0.291,0.176,0.515,0.471,14.4,25.9,0.219,0.46,15.7,73.9,0.221,2004,1
New Orleans Hornets*,30.3,41,41,102.3,102.4,89.1,0.293,0.252,0.505,0.46,14.1,30.6,0.22,0.476,15,71.3,0.218,2004,1
New York Knicks*,29.6,36,46,101.7,103.3,89.5,0.266,0.171,0.518,0.474,15.1,28,0.211,0.461,13.2,72.8,0.259,2004,1
Orlando Magic,25.8,22,60,102.7,110.4,90.8,0.296,0.184,0.504,0.461,12.8,28.1,0.218,0.502,12.7,68.7,0.214,2004,0
Philadelphia 76ers,27.5,33,49,99.1,101.9,88,0.321,0.158,0.505,0.456,15.5,28.2,0.242,0.467,14.7,70.7,0.231,2004,0
Phoenix Suns,24.4,30,52,101.4,105.5,92.6,0.28,0.18,0.515,0.475,14.3,26.6,0.209,0.482,14.7,69.9,0.24,2004,0
Portland Trail Blazers,27.6,37,45,103.7,105.1,86.2,0.267,0.17,0.515,0.478,14.4,31.2,0.195,0.482,13.3,70,0.186,2004,0
Sacramento Kings*,29.3,55,27,110.3,104.9,92.8,0.305,0.223,0.554,0.507,13,26,0.242,0.483,13.7,69.8,0.193,2004,1
San Antonio Spurs*,27.3,62,20,102.2,94.1,89.2,0.322,0.177,0.511,0.473,14.1,29.5,0.219,0.433,14.8,74.6,0.215,2004,1
Seattle SuperSonics,26,39,43,107.3,108,89.9,0.27,0.294,0.54,0.501,13.9,27.2,0.207,0.487,13.9,68.5,0.237,2004,0
Toronto Raptors,27.6,31,51,97,100.4,86.8,0.26,0.204,0.495,0.454,14.1,23.8,0.195,0.449,14.1,70.1,0.241,2004,0
Utah Jazz,24.9,37,45,101.9,103.3,86.6,0.356,0.127,0.509,0.456,16.1,34.1,0.266,0.468,15.4,72.4,0.319,2004,0
Washington Wizards,24.4,25,57,98.8,104.8,92.2,0.337,0.194,0.5,0.454,16,30.7,0.241,0.486,14.9,69.5,0.214,2004,0
Atlanta Hawks,26,16,66,100.6,111.1,91.4,0.299,0.146,0.504,0.464,14.9,30.7,0.212,0.513,14,72.1,0.289,2005,0
Boston Celtics*,27.1,43,39,107.5,106.6,93.3,0.357,0.192,0.551,0.501,14.7,27.2,0.273,0.481,14.2,70.1,0.274,2005,1
