Team,Age,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Year,Playoffs
Sacramento Kings,27.3,35,47,107.5,109.9,94.7,0.346,0.208,0.556,0.503,14.8,25.2,0.276,0.51,13.9,71.7,0.256,2008,0
San Antonio Spurs*,31.4,55,27,107.2,101.8,88.8,0.276,0.251,0.543,0.504,12.6,23.4,0.21,0.477,12.8,77.1,0.201,2008,1
Seattle SuperSonics,25.4,19,63,100.5,109.5,96.3,0.265,0.134,0.509,0.467,14.3,26.8,0.204,0.503,11.9,73.7,0.215,2008,0
Toronto Raptors*,26.3,49,33,110.2,107,90.2,0.247,0.217,0.551,0.511,11.4,23.4,0.2,0.505,13.5,75,0.205,2008,1
Utah Jazz*,25.3,59,23,113.8,106.5,93.2,0.349,0.166,0.573,0.528,13.6,29.5,0.265,0.501,15,74.1,0.294,2008,1
Washington Wizards*,27.2,40,42,109.2,109.6,89.5,0.297,0.241,0.535,0.489,12.5,28.9,0.233,0.513,13.5,72.8,0.217,2008,1
Atlanta Hawks*,25.8,46,36,109.3,107.6,89.6,0.323,0.253,0.546,0.504,12.5,26,0.238,0.494,13.2,71.6,0.21,2009,1
Boston Celtics*,27.8,61,21,110.5,102.3,90.4,0.328,0.214,0.571,0.528,15,27.9,0.251,0.47,14,75.6,0.253,2009,1
Charlotte Bobcats,25.8,37,45,104.7,106.1,88.3,0.312,0.213,0.536,0.494,15.1,27.7,0.231,0.498,14.4,73,0.229,2009,0
Chicago Bulls*,24.9,40,42,108.4,108.7,93.1,0.3,0.189,0.541,0.493,13.3,28,0.239,0.493,13.1,70.9,0.238,2009,1
Cleveland Cavaliers*,26.6,65,17,112.4,102.4,88.7,0.312,0.259,0.56,0.519,12.5,27.7,0.236,0.468,13.5,74.6,0.226,2009,1
Dallas Mavericks*,29,47,35,110.5,108.4,91.5,0.274,0.241,0.55,0.504,12.1,26.6,0.224,0.493,12.3,74.6,0.225,2009,1
Denver Nuggets*,27.7,50,32,110.4,106.8,94.3,0.382,0.227,0.563,0.512,14.2,27.5,0.29,0.485,14.1,71.7,0.259,2009,1
Detroit Pistons*,28.2,40,42,107.4,108,86.7,0.282,0.165,0.524,0.483,11.7,27.9,0.212,0.485,11.7,74,0.248,2009,1
Golden State Warriors,25,31,51,109.5,113.3,98.2,0.339,0.209,0.549,0.497,12.9,26.1,0.268,0.508,12.9,68.1,0.251,2009,0
Houston Rockets*,27.9,53,29,108.4,104,90.2,0.292,0.254,0.548,0.501,13.6,26.4,0.235,0.479,11.9,75.3,0.192,2009,1
Indiana Pacers,26.5,38,44,108.1,109.2,96.5,0.267,0.244,0.545,0.501,13.1,25.4,0.215,0.499,12.7,74.5,0.271,2009,0
Los Angeles Clippers,26.6,18,64,102.3,111.7,92.1,0.275,0.226,0.52,0.481,14,25.1,0.202,0.512,12.4,71.2,0.227,2009,0
Los Angeles Lakers*,27.4,61,21,112.8,104.7,94.3,0.299,0.217,0.555,0.513,12.3,29.4,0.23,0.49,14.2,73,0.213,2009,1
Memphis Grizzlies,23.3,26,56,103.5,109.5,90.1,0.329,0.175,0.533,0.486,14.8,25.8,0.249,0.515,14.1,73.5,0.247,2009,0
Miami Heat*,25.6,42,40,107.8,107.6,89.9,0.282,0.245,0.54,0.5,12.1,24.6,0.212,0.501,14.5,72.9,0.251,2009,1
Milwaukee Bucks,26.3,38,44,106.7,107.9,92.6,0.306,0.208,0.531,0.483,13.1,27.8,0.239,0.503,15.6,74,0.315,2009,0
Minnesota Timberwolves,25.4,27,55,106.1,111.4,91.6,0.289,0.227,0.526,0.481,13.3,27.7,0.222,0.515,12,75,0.254,2009,0
New Jersey Nets,25.7,34,48,108.3,111,89.9,0.303,0.265,0.543,0.497,12.7,25.2,0.236,0.509,13,73.5,0.272,2009,0
New Orleans Hornets*,28.2,46,36,108.7,107,87.8,0.288,0.24,0.548,0.501,12.5,24.6,0.232,0.496,13.2,74.9,0.23,2009,1
New York Knicks,25.7,34,48,108.1,110.8,96.7,0.268,0.322,0.544,0.503,12.9,24.4,0.21,0.52,13,72.7,0.215,2009,0
Oklahoma City Thunder,24.5,24,58,102.9,109.4,93.6,0.308,0.141,0.521,0.471,14.8,28.6,0.242,0.514,13,73.9,0.216,2009,0
Orlando Magic*,27.3,59,23,109.2,101.9,92.3,0.351,0.335,0.559,0.52,13.4,24,0.251,0.465,12.3,75.9,0.209,2009,1
Philadelphia 76ers*,26.1,41,41,107.9,107.8,90,0.339,0.164,0.532,0.485,13.4,31.3,0.253,0.507,14.9,71.4,0.216,2009,1
Phoenix Suns,29.5,46,36,113.6,111.6,96,0.336,0.216,0.584,0.545,14.4,27.7,0.25,0.511,12.8,71.7,0.233,2009,0
Portland Trail Blazers*,24,56,26,113.9,107.8,86.6,0.306,0.239,0.553,0.511,12.5,32.6,0.234,0.499,13.2,75,0.227,2009,1
Sacramento Kings,26.3,19,63,105.5,114.7,94.2,0.315,0.238,0.542,0.491,14.3,24.5,0.252,0.526,13,69.9,0.269,2009,0
San Antonio Spurs*,30.4,52,30,108.5,104.3,88.4,0.251,0.248,0.548,0.513,11.7,22.1,0.191,0.487,11.7,78,0.191,2009,1
Toronto Raptors,27,33,49,107,110,92,0.279,0.193,0.542,0.494,12.8,24,0.23,0.511,12.6,73.7,0.202,2009,0
Utah Jazz*,25.5,48,34,110.1,107.3,93.1,0.355,0.169,0.554,0.504,13.6,28.2,0.274,0.505,15,72.7,0.262,2009,1
Washington Wizards,26.9,21,61,105.4,113.6,91,0.293,0.18,0.524,0.48,13.2,27.7,0.224,0.533,13.3,71.4,0.227,2009,0
Atlanta Hawks*,26.5,54,28,111.9,106.7,90.1,0.281,0.214,0.545,0.506,11.4,28.2,0.213,0.496,13.2,72.7,0.208,2010,1
Boston Celtics*,29.4,52,30,107.7,103.8,91.6,0.332,0.228,0.564,0.522,14.5,22.8,0.248,0.487,14.9,73.8,0.251,2010,1
Charlotte Bobcats*,27.4,45,37,104.4,102.8,90.4,0.346,0.211,0.538,0.49,15.1,26.5,0.26,0.491,14.7,74.2,0.194,2010,1
Chicago Bulls*,26.2,36,46,103.5,105.3,93.1,0.287,0.156,0.52,0.477,13.3,26.6,0.217,0.484,12.3,74.8,0.212,2010,1
Cleveland Cavaliers*,28,59,23,111.2,104.1,91.4,0.341,0.248,0.57,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.218,2010,1
Dallas Mavericks*,30.7,49,33,109.2,106.3,92.5,0.277,0.222,0.552,0.506,12.3,24.3,0.226,0.495,13.6,73.7,0.206,2010,1
Denver Nuggets*,27.7,52,30,111.8,107.5,94.8,0.376,0.227,0.561,0.509,12.7,26.1,0.29,0.495,13.8,72.4,0.251,2010,1
Detroit Pistons,26.7,26,56,105.6,111.4,88.5,0.303,0.18,0.515,0.474,12.8,30.3,0.22,0.526,14.2,73.4,0.264,2010,0
Golden State Warriors,25.1,32,50,108.1,111.7,100.4,0.294,0.238,0.557,0.514,13.1,20.9,0.23,0.525,15.1,68.5,0.26,2010,0
Houston Rockets,26,40,42,107.6,108,94,0.292,0.265,0.537,0.494,13.2,26.9,0.225,0.511,13.6,73.8,0.215,2010,0
Indiana Pacers,26.6,33,49,103.7,106.8,97.1,0.296,0.278,0.536,0.491,13.8,21.6,0.229,0.49,13.4,73,0.258,2010,0
Los Angeles Clippers,27.3,24,58,103.3,110.1,92.6,0.283,0.221,0.529,0.491,14.8,27.1,0.206,0.509,12.2,74,0.214,2010,0
Los Angeles Lakers*,28.4,54,28,108.8,103.7,92.8,0.289,0.227,0.538,0.496,12.4,27.6,0.221,0.484,13.2,74.4,0.195,2010,1
Memphis Grizzlies,24.1,37,45,108.3,109.9,93.6,0.32,0.148,0.536,0.494,13.7,31.3,0.235,0.52,13.2,73.3,0.205,2010,0
Miami Heat*,27.1,48,34,106.6,104.1,89.6,0.296,0.219,0.537,0.496,12.8,26.1,0.223,0.48,13.9,74.9,0.246,2010,1
Milwaukee Bucks*,26.4,46,36,104.9,103.1,91.7,0.239,0.259,0.518,0.482,12.3,26.2,0.181,0.486,14.6,76.4,0.266,2010,1
Minnesota Timberwolves,24.1,17,65,101.7,111.6,96.1,0.278,0.171,0.518,0.478,14.6,26.7,0.207,0.525,13,73.6,0.22,2010,0
New Jersey Nets,24.8,17,65,100.6,110.5,91.4,0.307,0.181,0.509,0.458,13.7,25.1,0.24,0.517,13.3,71.8,0.229,2010,0
New Orleans Hornets,27.5,34,48,107.4,110.1,92.6,0.243,0.23,0.543,0.506,12.7,24.8,0.189,0.523,13.5,73.8,0.205,2010,0
New York Knicks,25.4,31,51,107.6,111.6,94,0.256,0.312,0.547,0.509,13,23.5,0.2,0.526,13.3,72.1,0.207,2010,0
Oklahoma City Thunder*,23.2,51,31,108.3,104.6,93.1,0.333,0.185,0.547,0.494,13.9,28.6,0.268,0.483,14,73.6,0.229,2010,1
Orlando Magic*,27.9,61,21,111.4,103.3,92,0.34,0.35,0.573,0.536,13.6,24.6,0.246,0.477,12.2,77.4,0.205,2010,1
Philadelphia 76ers,25.4,30,52,106.1,110.3,91.6,0.27,0.206,0.534,0.496,13.7,27.6,0.204,0.518,13.8,73.2,0.231,2010,0
Phoenix Suns*,28.5,54,28,115.3,110.2,95.3,0.312,0.261,0.585,0.546,13.6,27.6,0.24,0.491,11.6,70.8,0.224,2010,1
Portland Trail Blazers*,26.6,51,31,110.8,107.1,87.7,0.315,0.215,0.547,0.499,12.1,28.2,0.249,0.502,13.3,74.8,0.219,2010,1
Sacramento Kings,24.1,29,53,105.3,109.9,94,0.286,0.201,0.528,0.491,13.6,27.8,0.207,0.505,12.6,73.5,0.244,2010,0
San Antonio Spurs*,28.7,55,27,110,104.5,91.7,0.296,0.232,0.552,0.515,12.9,26.8,0.219,0.483,12.1,76.3,0.214,2010,1
Toronto Raptors,25.2,36,46,111.3,113.2,93.1,0.319,0.211,0.564,0.521,12.7,24.7,0.244,0.513,11.8,72.9,0.247,2010,0
Utah Jazz*,25.6,55,27,110.7,105,93.8,0.34,0.184,0.565,0.524,14.2,26.8,0.252,0.492,14.2,75.6,0.269,2010,1
Washington Wizards,27.6,28,54,104.2,109.4,91.6,0.283,0.183,0.524,0.481,13.9,27.6,0.216,0.502,12.8,72.4,0.239,2010,0
Atlanta Hawks*,27.4,39,43,106.1,107,89.3,0.269,0.222,0.542,0.501,13.5,23.4,0.209,0.495,12.3,74.6,0.211,2011,1
Boston Celtics*,29.5,57,25,106.2,100.3,90.4,0.305,0.18,0.561,0.519,14.5,21.1,0.235,0.469,14.8,74.7,0.235,2011,1
Charlotte Bobcats,26.9,29,53,103.4,107.8,89.6,0.314,0.189,0.528,0.482,14.1,25.7,0.237,0.5,12.9,75.2,0.229,2011,0
Chicago Bulls*,26.4,61,21,108.3,100.3,90.4,0.305,0.215,0.541,0.501,13.5,29.4,0.227,0.463,13.6,76.2,0.222,2011,1
Cleveland Cavaliers,26.6,18,64,102.2,111.8,93,0.312,0.224,0.518,0.472,13.4,24.2,0.233,0.524,12.7,73.3,0.211,2011,0
Dallas Mavericks*,30.9,53,29,109.7,105,91.3,0.286,0.274,0.565,0.525,13.6,24.1,0.222,0.488,13,74.8,0.206,2011,1
Denver Nuggets*,27.3,54,28,112.3,107.3,95.6,0.367,0.258,0.574,0.526,13.1,23.9,0.281,0.5,12.7,75.4,0.224,2011,1
Detroit Pistons,27.2,31,51,107.7,111.7,89.2,0.279,0.189,0.533,0.495,12.5,27.4,0.206,0.526,13.8,72.1,0.235,2011,0
Golden State Warriors,25.2,35,47,108.2,110.7,94.8,0.241,0.248,0.544,0.51,13.3,26.7,0.183,0.509,14.5,69.3,0.259,2011,0
Houston Rockets,26.5,47,35,111.3,109,94.2,0.299,0.264,0.55,0.503,12.3,27.4,0.239,0.5,12.6,72.7,0.219,2011,0
Indiana Pacers*,25.9,38,44,104.8,106,94.7,0.3,0.244,0.533,0.486,14.1,25.9,0.235,0.487,12.8,74.1,0.237,2011,1
Los Angeles Clippers,24.6,32,50,105.3,108.7,92.8,0.332,0.23,0.535,0.496,15.1,28.4,0.234,0.499,12.8,73.2,0.25,2011,0
Los Angeles Lakers*,30.2,58,24,111,104.3,90.7,0.293,0.22,0.545,0.502,12.3,29.2,0.228,0.477,12.8,72.3,0.181,2011,1
Memphis Grizzlies*,25.2,48,34,107.6,105.1,91.9,0.291,0.136,0.534,0.493,13,28.9,0.218,0.502,15.7,72.5,0.228,2011,1
Miami Heat*,29,61,21,111.7,103.5,90.9,0.363,0.235,0.573,0.524,13.5,25.2,0.279,0.475,12.6,75.5,0.223,2011,1
Milwaukee Bucks,26.7,38,44,101.6,102.5,89.8,0.287,0.216,0.511,0.467,13,24.7,0.217,0.481,14.7,74.8,0.236,2011,0
Minnesota Timberwolves,23.8,24,58,104.2,111.1,96.5,0.282,0.223,0.526,0.483,15.1,29.6,0.217,0.514,13.1,73.7,0.251,2011,0
New Jersey Nets,24.8,24,58,103.1,109.9,89.9,0.283,0.201,0.517,0.474,13.4,26.1,0.215,0.503,11.8,74.2,0.241,2011,0
New Orleans Hornets*,26.3,44,38,106.2,105.2,88.7,0.296,0.192,0.537,0.493,12.8,25.1,0.226,0.501,14.4,76.2,0.22,2011,1
New York Knicks*,25.3,43,39,110.9,110.1,95.6,0.304,0.303,0.561,0.513,12.6,24.2,0.246,0.511,13.8,71.9,0.24,2011,1
Oklahoma City Thunder*,23.7,51,31,111.2,107.2,92.7,0.363,0.212,0.561,0.501,13.1,27.4,0.299,0.493,12.9,73.6,0.228,2011,1
Orlando Magic*,27.6,56,26,107.9,102,91.2,0.328,0.328,0.554,0.521,14.3,26.1,0.227,0.475,13.3,76.9,0.219,2011,1
Philadelphia 76ers*,24.7,45,37,106.6,105,91.7,0.273,0.184,0.535,0.494,12.3,24.6,0.21,0.487,13.5,74.5,0.231,2011,1
Phoenix Suns,29.6,39,43,109.5,110.4,94.4,0.283,0.271,0.559,0.522,13.2,23.7,0.215,0.513,13.1,71.6,0.211,2011,0
Portland Trail Blazers*,26.7,46,36,108.8,107.1,87.9,0.278,0.228,0.533,0.486,12.6,29.5,0.224,0.51,15.4,72,0.231,2011,1
Sacramento Kings,24.8,27,55,103.5,109,95.2,0.284,0.183,0.519,0.48,14.4,29.9,0.208,0.513,13.5,74.4,0.233,2011,0
San Antonio Spurs*,28.8,56,26,111.8,105.6,92.3,0.299,0.261,0.567,0.527,12.8,24.9,0.229,0.491,12.6,74.6,0.19,2011,1
Toronto Raptors,24.5,24,58,106.1,112.9,92.9,0.293,0.162,0.533,0.491,13.7,28.2,0.221,0.522,13,72,0.251,2011,0
Utah Jazz,26.8,36,46,108.1,110.1,91,0.313,0.191,0.544,0.498,13.5,27,0.241,0.505,13.8,71.7,0.275,2011,0
Washington Wizards,24.9,22,60,102.4,110.2,93.8,0.29,0.172,0.513,0.471,13.9,28,0.216,0.512,14.4,70.5,0.249,2011,0
Atlanta Hawks*,27.9,41,25,104.9,101.2,90.2,0.259,0.249,0.535,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186,2012,1
Boston Celtics*,29.3,39,27,101,98.2,90.4,0.257,0.194,0.535,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216,2012,1
Charlotte Bobcats,24.5,7,59,95.2,110.4,91.1,0.276,0.169,0.483,0.439,13.9,23.6,0.206,0.512,12.8,70.9,0.206,2012,0
Chicago Bulls*,27.1,51,15,107.4,98.3,89.1,0.255,0.205,0.523,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175,2012,1
Cleveland Cavaliers,26,17,49,101.1,108.9,91.3,0.307,0.238,0.505,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202,2012,0
Dallas Mavericks*,31.3,35,31,103.3,102.3,91.4,0.246,0.271,0.527,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203,2012,1
Denver Nuggets*,26.6,39,27,109.2,106.2,94.2,0.326,0.243,0.556,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185,2012,1
Detroit Pistons,26.3,22,44,101,106.3,89.2,0.279,0.175,0.51,0.468,15,28.1,0.21,0.5,14.2,72.8,0.226,2012,0
Golden State Warriors,25.3,25,41,105.4,109.1,92.3,0.227,0.248,0.539,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237,2012,0
Houston Rockets,26.2,34,32,105.5,105.2,91.7,0.235,0.24,0.529,0.492,13.5,27.5,0.184,0.49,13.8,73.4,0.21,2012,0
Indiana Pacers*,26.3,41,25,106.7,103.1,90.7,0.321,0.198,0.526,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222,2012,1
Los Angeles Clippers*,27.3,39,27,108.5,105.7,89.2,0.287,0.269,0.533,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245,2012,1
Los Angeles Lakers*,29.7,36,30,106,104.4,90.5,0.299,0.209,0.534,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158,2012,1
Memphis Grizzlies*,25.6,38,28,104,101.8,90.8,0.277,0.157,0.515,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227,2012,1
Miami Heat*,28.3,47,19,106.6,100.2,91.2,0.307,0.198,0.549,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.2,2012,1
Milwaukee Bucks,26.2,34,32,105.5,105.2,93.7,0.25,0.224,0.521,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217,2012,0
Minnesota Timberwolves,24.4,28,38,104.3,106.6,93.3,0.306,0.262,0.524,0.477,14,27.5,0.236,0.491,12.2,73,0.187,2012,0
New Jersey Nets,26.1,19,47,102.9,109.6,90.1,0.269,0.278,0.516,0.473,14.3,27.8,0.209,0.513,13.7,70.7,0.209,2012,0
New Orleans Hornets,25.5,24,42,100.9,105.1,88.3,0.274,0.152,0.517,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218,2012,0
New York Knicks*,26.3,41,25,104.4,101,93.2,0.306,0.288,0.533,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224,2012,1
Oklahoma City Thunder*,25.1,46,20,109.8,103.2,93,0.334,0.252,0.567,0.516,15.3,27.8,0.269,0.465,13,72.1,0.207,2012,1
Orlando Magic*,27.5,35,31,105,104.1,89,0.292,0.346,0.533,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19,2012,1
Philadelphia 76ers*,24.9,43,23,103.9,99.2,89.7,0.217,0.175,0.511,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192,2012,1
Phoenix Suns,28.9,32,34,106.2,106.5,92.6,0.257,0.238,0.536,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2,2012,0
Portland Trail Blazers,27.5,32,34,105.7,106.4,91.2,0.263,0.255,0.531,0.488,13.4,26.3,0.209,0.504,14.1,72.8,0.199,2012,0
Sacramento Kings,24.3,21,45,103.8,109.8,94.7,0.268,0.228,0.51,0.472,13,29.1,0.197,0.515,13.9,70.5,0.199,2012,0
San Antonio Spurs*,27.5,48,18,110.9,103.2,92.9,0.261,0.257,0.562,0.528,12.8,25.1,0.195,0.489,12.9,76,0.168,2012,1
Toronto Raptors,25.7,25,41,100.8,104.5,89.3,0.274,0.209,0.518,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26,2012,0
Utah Jazz*,25.6,34,32,106.8,106.1,91.4,0.302,0.153,0.525,0.481,13,30.2,0.227,0.493,13.8,73.8,0.245,2012,1
Washington Wizards,24.2,22,44,101,106.2,92.5,0.253,0.196,0.508,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229,2012,0
Atlanta Hawks*,27.1,42,40,104.8,104.4,92.6,0.244,0.286,0.546,0.517,14.2,22.2,0.174,0.496,14.2,73.6,0.181,2013,1
Boston Celtics*,29.1,40,41,103.1,103.3,91.7,0.263,0.215,0.542,0.503,14.1,20.1,0.204,0.482,14.2,73.3,0.216,2013,1
Brooklyn Nets*,28.6,46,36,108.2,106.2,88.8,0.299,0.269,0.536,0.498,14,30.9,0.219,0.503,13.1,73.7,0.174,2013,1
Charlotte Bobcats,24.4,17,65,101.5,111.5,91.5,0.31,0.21,0.507,0.46,13.2,25.7,0.233,0.524,13.2,71.1,0.197,2013,0
Chicago Bulls*,28,42,40,103.5,103.2,89.3,0.259,0.189,0.512,0.47,13.6,29.4,0.201,0.477,13.2,73.6,0.206,2013,1
Cleveland Cavaliers,24.1,28,54,104.3,109.4,92.3,0.265,0.229,0.514,0.473,13,28.1,0.2,0.523,14.4,72.6,0.225,2013,0
Dallas Mavericks,29.5,39,43,105.9,106.5,94.1,0.242,0.236,0.544,0.506,13,21.8,0.192,0.492,13.3,73.1,0.227,2013,0
Denver Nuggets*,26.1,55,27,110.4,105.1,95.1,0.308,0.217,0.549,0.515,13.6,31.4,0.216,0.493,14.3,71.8,0.193,2013,1
Detroit Pistons,25.3,29,53,103.8,108.1,90.8,0.282,0.217,0.521,0.487,14.3,28.3,0.197,0.505,13.1,73,0.209,2013,0
Golden State Warriors*,25.3,44,38,106.4,105.5,94.5,0.255,0.239,0.545,0.506,14,25.4,0.201,0.486,12.4,75.5,0.211,2013,1
Houston Rockets*,24.4,50,32,109.7,106.1,96.1,0.308,0.349,0.564,0.525,14.9,26.4,0.232,0.502,13.5,75.2,0.196,2013,1
Indiana Pacers*,25.7,52,29,104.3,99.8,90.2,0.293,0.245,0.521,0.479,14.3,30.3,0.219,0.453,12.9,74.6,0.197,2013,1
Los Angeles Clippers*,28.8,59,23,110.6,103.6,91.1,0.286,0.265,0.557,0.526,13.9,28.8,0.203,0.492,15.4,73.5,0.229,2013,1
Los Angeles Lakers*,30.7,44,38,107.8,106.6,94.4,0.345,0.303,0.548,0.512,13.9,27,0.239,0.496,11.9,74.3,0.163,2013,1
Memphis Grizzlies*,27,54,28,104.9,100.3,88.4,0.261,0.166,0.514,0.472,13.3,31,0.202,0.475,15.2,74.3,0.209,2013,1
Miami Heat*,30.3,62,20,112.3,103.7,90.7,0.297,0.285,0.588,0.552,13.7,22.2,0.224,0.487,14.8,73,0.2,2013,1
Milwaukee Bucks*,26.4,37,45,103.6,105.2,94.7,0.236,0.232,0.51,0.476,12.7,27.9,0.174,0.492,14.4,71.3,0.201,2013,1
Minnesota Timberwolves,26.4,34,48,102.9,105.4,92.8,0.305,0.22,0.516,0.473,13.8,27.4,0.226,0.511,15,74,0.187,2013,0
New Orleans Hornets,24,30,52,105.7,110.1,88.5,0.248,0.224,0.528,0.489,14,29.2,0.193,0.52,13.1,74.4,0.208,2013,0
New York Knicks*,30.2,53,29,111.1,106.3,89.8,0.258,0.354,0.55,0.515,11.7,25.6,0.196,0.508,14.8,74.7,0.216,2013,1
Oklahoma City Thunder*,26,64,18,112.4,102.6,93.3,0.338,0.244,0.58,0.527,14.4,26.7,0.28,0.469,13.5,73.4,0.197,2013,1
Orlando Magic,24.6,22,60,101.6,109.1,92.2,0.197,0.223,0.514,0.485,13.7,25.4,0.149,0.508,11.8,74.6,0.195,2013,0
Philadelphia 76ers,25.2,31,51,102,105.7,91,0.2,0.209,0.509,0.481,12.5,24.9,0.146,0.495,13.7,73.4,0.2,2013,0
Phoenix Suns,26.9,23,59,101.2,108.1,93.4,0.234,0.21,0.512,0.477,14.3,27,0.174,0.512,14.2,71.9,0.208,2013,0
Portland Trail Blazers,24.4,32,50,105.8,109.2,91.4,0.25,0.284,0.536,0.498,13.9,25.3,0.194,0.512,12.5,73.3,0.189,2013,0
Sacramento Kings,25.6,28,54,106.2,111.4,93.6,0.271,0.243,0.532,0.491,13.4,26.6,0.208,0.517,13.6,71,0.227,2013,0
San Antonio Spurs*,28.6,58,24,108.3,101.6,94.2,0.258,0.264,0.568,0.531,14,20.5,0.204,0.48,13.7,74.9,0.179,2013,1
Toronto Raptors,25.4,37,45,105.9,107.5,90.4,0.274,0.249,0.532,0.488,13,25.5,0.216,0.5,13.6,73.4,0.247,2013,0
Utah Jazz,26.3,41,41,106.7,106.8,90.9,0.281,0.206,0.533,0.492,13.8,28.8,0.214,0.501,14,73.2,0.226,2013,0
Washington Wizards,25.4,33,49,100.2,103,92.2,0.261,0.223,0.512,0.475,14.2,24.6,0.191,0.483,13.7,74.6,0.206,2013,0
Atlanta Hawks*,27.5,40,42,105.9,106.4,94.6,0.266,0.316,0.554,0.515,14.3,21,0.208,0.51,14,74.4,0.196,2014,1
Boston Celtics,25.4,28,54,102.9,107.7,93.3,0.248,0.251,0.517,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227,2014,0
Brooklyn Nets*,30,38,44,106.7,107.7,91.4,0.313,0.301,0.555,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,2014,1
Charlotte Bobcats*,25.5,40,42,103.6,103.8,92.4,0.297,0.219,0.522,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,2014,1
Chicago Bulls*,28.6,47,35,102.5,100.5,90.2,0.29,0.222,0.518,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189,2014,1
Cleveland Cavaliers,24.9,32,50,104.2,107.7,93.1,0.268,0.236,0.518,0.479,13,27.2,0.201,0.508,13,75.8,0.199,2014,0
Dallas Mavericks*,30.6,48,34,111.2,108.7,93.5,0.253,0.274,0.564,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,2014,1
Denver Nuggets,26,35,47,106,108.2,98.1,0.306,0.278,0.536,0.497,14,27.5,0.222,0.5,12.8,74.5,0.233,2014,0
Detroit Pistons,24.7,31,51,105.9,109.7,94.9,0.296,0.222,0.514,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218,2014,0
Golden State Warriors*,26.3,54,28,107.5,102.6,96.2,0.247,0.291,0.55,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,2014,1
Houston Rockets*,25.4,53,29,111,106.3,96.3,0.386,0.33,0.571,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,2014,1
Indiana Pacers*,27.2,54,28,104.1,99.3,92.5,0.29,0.235,0.535,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197,2014,1
Los Angeles Clippers*,28.1,59,23,112.1,104.8,95.9,0.353,0.291,0.567,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222,2014,1
Los Angeles Lakers,26.8,25,57,104.2,110.6,98.7,0.263,0.291,0.542,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192,2014,0
Memphis Grizzlies*,28.5,46,36,106.3,104.6,89.9,0.248,0.171,0.529,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,2014,1
Miami Heat*,30.6,54,28,110.9,105.8,91.2,0.3,0.292,0.59,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212,2014,1
Milwaukee Bucks,24.7,20,62,103,111.8,91.8,0.274,0.231,0.519,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225,2014,0
Minnesota Timberwolves,26.3,48,34,108.9,106.2,97.3,0.321,0.245,0.535,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177,2014,0
New Orleans Pelicans,24.3,33,49,107.2,110.1,92.2,0.286,0.193,0.537,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,2014,0
New York Knicks,28.3,39,43,108.3,109.1,90.3,0.248,0.302,0.541,0.505,12.5,25.1,0.189,0.514,14,74.3,0.245,2014,0
Oklahoma City Thunder*,26.2,58,24,110.5,103.9,95.4,0.303,0.271,0.566,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221,2014,1
Orlando Magic,24.6,26,56,101.7,107.4,93.6,0.253,0.235,0.525,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211,2014,0
